# settings: ObjectDict([('device', 'cpu'), ('num_threads', 4), ('lr', 0.01), ('batch_size', 64), ('n_lstm', 4), ('n_updates', 10000.0), ('results_dir', 'results'), ('print_stats_at', 100.0), ('plot_at', 1000.0), ('validate_at', 500.0), ('n_samples', 100000.0), ('rnd_seed', 123)])
[train] u: 0000100; loss: 0.0913908; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47522548 0.74589288 0.48237943 ... 0.52853061 0.33360464 0.53982684]; bacc: 0.5000; average_auc:0.4620
[train] u: 0000200; loss: 0.0612555; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47260265 0.74477648 0.48066499 ... 0.52671227 0.33313707 0.53883117]; bacc: 0.5001; average_auc:0.4630
[train] u: 0000300; loss: 0.0423608; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47188509 0.74340985 0.48037059 ... 0.52648714 0.33344878 0.53748918]; bacc: 0.5001; average_auc:0.4640
[train] u: 0000400; loss: 0.0372970; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47168714 0.74334729 0.48014547 ... 0.52630531 0.3330678  0.53725108]; bacc: 0.5001; average_auc:0.4632
[train] u: 0000500; loss: 0.0353869; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47257791 0.74364083 0.4804745  ... 0.52676422 0.33407221 0.53755411]; bacc: 0.5002; average_auc:0.4631
[validation] u: 0000500; loss: 0.0411975; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; validation_aucs:[0.37872488 0.08441558 0.47660515 ... 0.51143154 0.34493506 0.87818182]; bacc: 0.5000; validation_auc:0.4439
  New best validation loss: 0.041197530925273895
[train] u: 0000600; loss: 0.0347078; baccs: [0.5        0.5        0.5        ... 0.49991342 0.49991342 0.5       ]; train_aucs:[0.47247894 0.74373707 0.48050913 ... 0.52666032 0.33381245 0.53772727]; bacc: 0.5001; average_auc:0.4625
[train] u: 0000700; loss: 0.0342369; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47313464 0.74395842 0.48082085 ... 0.52723179 0.33490345 0.53811688]; bacc: 0.5001; average_auc:0.4624
[train] u: 0000800; loss: 0.0334919; baccs: [0.5 0.5 0.5 ... 0.5 0.5 0.5]; train_aucs:[0.47303567 0.7439103  0.48085549 ... 0.52735302 0.3351459  0.53829004]; bacc: 0.5001; average_auc:0.4624
